100 10000
A 17 73
B 34 30
B 41 89
B 71 46
A 17 8
A 60 7
A 31 11
A 46 60
B 16 88
B 87 2
A 69 28
B 43 7
A 23 49
B 15 46
A 82 86
B 48 46
B 80 60
A 84 52
A 58 15
B 11 84
A 15 98
A 12 32
A 24 41
A 33 82
A 23 35
A 15 78
A 34 56
B 65 89
B 22 26
A 39 87
A 33 61
A 72 98
A 41 67
B 84 52
B 9 60
A 54 90
B 1 93
B 23 24
A 77 24
B 90 79
B 59 87
A 99 58
B 32 95
B 76 3
B 55 76
A 27 54
B 93 61
B 24 88
A 41 79
B 63 92
A 94 57
A 3 40
A 29 93
B 58 81
B 30 33
A 90 54
A 53 67
A 93 29
B 9 47
A 2 38
A 56 59
B 81 39
A 49 15
A 75 19
A 6 25
A 44 47
A 37 71
B 80 29
B 72 38
B 53 2
B 57 27
A 16 40
A 32 40
B 34 97
A 23 37
A 48 95
B 21 63
B 66 34
B 69 66
A 98 87
B 5 33
A 100 19
A 2 26
A 42 61
A 35 93
B 80 19
B 63 5
B 90 92
B 82 58
B 10 62
A 62 34
A 40 23
B 63 83
A 12 70
A 11 86
B 86 93
B 35 9
A 96 15
A 77 75
A 37 20
B 91 12
A 10 82
A 75 26
A 71 67
B 3 29
B 41 30
B 67 87
A 97 98
A 15 89
B 43 4
B 35 70
B 52 35
A 67 6
A 67 39
B 88 54
A 87 5
B 37 67
B 51 76
B 51 74
A 1 35
A 75 87
B 56 28
B 99 26
A 32 34
A 31 52
A 14 43
B 10 78
B 12 53
A 36 6
B 60 71
B 71 64
A 67 44
B 59 39
B 24 14
A 23 10
B 68 20
B 71 9
B 42 29
B 79 93
B 26 32
B 62 53
A 79 94
B 94 88
A 26 65
B 33 21
A 19 6
B 41 67
A 14 72
A 6 8
A 88 79
A 40 49
B 2 40
B 84 93
B 22 78
A 27 43
A 19 18
B 92 71
B 82 4
B 83 78
B 84 97
A 41 86
B 70 77
B 30 77
A 17 67
A 32 50
B 42 62
B 100 57
A 51 40
A 72 55
A 49 38
B 96 22
B 96 83
A 79 75
A 40 88
A 39 21
B 95 25
A 73 46
B 15 9
B 23 45
B 4 89
B 31 20
A 94 95
B 90 33
B 77 33
B 89 12
B 93 25
B 14 56
A 78 18
A 86 5
A 33 80
B 31 65
B 71 6
A 12 36
B 13 43
B 98 47
A 30 21
A 72 40
A 68 92
B 22 97
A 41 36
A 29 68
A 27 42
B 18 44
A 3 51
B 25 60
A 91 59
A 74 26
B 16 25
B 46 77
A 70 80
B 64 73
A 66 98
B 42 87
B 75 83
B 72 82
A 88 6
A 59 9
B 12 23
B 93 38
A 17 90
B 89 92
B 85 91
B 65 72
A 15 24
A 5 62
A 29 20
A 92 12
A 84 56
A 78 82
B 11 56
B 18 16
A 39 81
A 58 79
A 90 63
B 13 36
A 62 54
A 96 87
B 6 70
B 22 12
A 19 44
B 2 40
B 53 92
A 61 39
B 43 58
A 11 73
A 39 91
B 75 9
A 74 15
B 55 78
B 70 65
B 66 64
B 66 12
A 22 55
B 60 46
A 18 83
B 36 62
B 65 5
A 15 100
B 89 9
B 81 39
B 93 28
B 79 98
B 35 46
A 23 16
A 64 44
B 12 68
A 11 73
A 22 34
A 26 54
A 73 21
B 59 16
A 63 82
B 90 84
A 77 75
A 31 99
B 36 48
A 61 96
A 21 4
A 79 52
A 12 27
B 48 16
A 82 97
B 78 88
A 79 41
B 41 83
B 66 33
A 25 36
A 9 30
B 67 17
B 3 34
A 55 52
A 65 97
B 13 87
B 25 35
B 41 51
B 29 45
A 39 13
B 86 13
A 56 61
B 6 17
A 69 16
B 48 24
A 91 94
B 86 19
A 7 38
B 92 33
A 15 32
B 45 7
A 27 65
A 6 75
A 41 19
A 26 18
A 27 48
A 79 18
A 20 74
A 12 47
B 71 83
B 72 71
A 5 91
A 27 25
A 99 35
A 91 35
B 96 57
B 69 15
B 66 51
B 23 94
B 57 56
B 16 85
A 51 70
A 71 81
B 47 80
B 95 64
B 22 68
B 49 98
B 9 21
B 93 32
A 88 41
B 70 28
A 52 62
B 60 79
B 29 61
B 80 28
A 39 48
B 82 59
A 16 19
A 87 23
B 44 41
A 26 81
A 51 91
B 24 10
A 93 58
B 69 67
B 5 25
A 7 68
A 31 83
A 54 8
B 84 90
B 15 8
B 45 52
B 76 65
B 37 14
B 59 46
A 89 13
A 30 37
A 79 96
B 73 31
A 21 42
A 41 37
B 4 74
A 82 17
B 19 44
B 93 98
B 17 7
B 84 10
A 81 90
A 97 75
B 71 36
B 10 76
B 62 35
A 85 26
A 58 42
B 83 42
A 71 70
B 90 66
B 6 90
B 60 75
A 78 46
B 9 79
A 53 29
A 55 83
B 34 31
B 82 51
B 60 25
A 43 2
B 88 18
A 1 38
A 6 85
A 45 20
A 78 79
B 82 36
A 31 70
A 79 25
B 80 56
B 12 40
B 9 26
A 87 89
A 16 77
A 92 77
B 65 58
B 29 6
B 73 30
A 9 99
A 41 73
B 39 73
B 61 40
A 50 20
A 40 93
A 39 62
B 48 89
B 78 75
B 21 92
A 27 44
A 92 59
A 3 2
B 2 41
A 94 9
B 40 85
B 51 8
A 29 25
A 19 81
B 71 35
B 81 23
B 67 16
B 89 41
B 90 6
B 37 19
A 87 46
B 88 49
A 31 16
A 89 71
B 84 96
A 7 3
B 67 29
A 91 10
A 96 8
A 61 24
A 71 10
A 75 62
A 29 14
B 66 42
B 79 58
B 81 4
B 81 44
B 45 30
A 75 15
B 63 56
B 76 64
B 100 30
A 93 79
B 85 43
B 32 75
B 2 34
B 27 99
B 71 24
B 45 20
A 76 97
A 20 40
A 2 1
A 27 12
A 1 58
B 35 17
A 67 33
A 97 80
A 30 28
A 34 83
A 68 42
A 14 35
A 73 60
A 59 34
A 62 41
B 23 28
B 53 51
B 46 97
A 46 82
A 18 44
A 53 94
A 53 95
B 92 35
A 84 78
A 93 35
B 37 35
A 6 9
B 25 24
B 39 37
A 74 4
B 25 29
A 33 55
B 75 37
A 39 49
A 42 62
A 23 13
B 66 65
B 50 4
B 64 30
A 77 68
A 22 26
B 90 36
A 84 79
B 8 94
B 88 14
A 14 91
A 82 63
A 20 6
B 98 59
A 48 2
B 35 3
B 46 96
B 78 79
A 98 28
A 50 64
B 56 43
A 65 23
A 67 23
B 5 51
B 8 2
B 30 94
B 93 63
B 91 25
B 35 58
A 41 37
A 32 42
B 74 51
A 55 71
A 86 65
B 64 82
A 43 9
B 80 63
B 81 25
A 67 55
B 62 30
A 4 87
B 72 69
B 37 53
A 37 77
B 46 71
A 28 92
B 8 4
A 18 27
A 82 36
A 99 42
B 11 49
A 20 22
A 61 22
B 17 55
A 46 42
A 79 50
B 18 16
B 92 19
A 4 78
A 81 29
A 75 93
B 23 14
B 9 43
B 98 79
B 64 5
A 90 16
A 20 26
B 40 50
B 76 91
B 23 40
B 15 44
B 39 50
A 96 93
A 20 54
A 92 40
B 40 50
B 100 75
A 83 84
A 12 68
B 93 69
B 78 84
B 27 60
A 51 40
B 71 69
A 89 74
B 59 95
A 13 35
A 88 27
A 50 45
A 18 40
B 32 9
B 54 82
B 14 66
A 68 57
B 40 35
A 14 87
B 10 65
B 72 29
B 97 48
A 40 27
B 19 76
B 82 36
B 48 22
B 61 20
A 23 90
A 5 72
B 6 35
A 79 52
A 9 17
A 85 67
B 39 64
A 72 60
B 71 87
A 52 57
B 56 74
A 26 16
A 74 11
B 73 77
B 47 7
B 96 32
B 54 22
A 72 23
A 6 73
A 48 37
B 76 22
B 51 62
A 74 44
B 61 34
B 64 51
B 57 19
A 36 19
B 61 10
B 1 6
B 59 35
B 99 7
A 61 84
A 17 25
A 57 29
A 95 69
B 66 87
A 72 65
A 98 35
B 43 65
B 46 38
B 45 98
A 19 68
B 89 63
A 99 22
B 30 25
B 78 93
B 94 39
B 38 50
A 59 65
A 31 26
A 48 38
B 4 68
B 63 12
A 68 67
B 9 21
A 49 22
A 63 93
A 92 83
A 44 58
B 99 50
B 19 53
A 68 38
B 56 13
B 15 91
B 39 79
A 82 89
A 82 59
A 80 91
B 59 88
A 89 62
A 43 80
A 42 96
A 94 14
B 50 97
A 44 6
A 13 7
B 90 85
A 50 97
A 86 11
A 67 97
B 63 59
A 12 70
B 1 57
B 53 57
B 52 79
B 75 82
A 60 87
A 29 65
B 82 39
B 65 38
B 85 52
A 73 64
A 66 15
A 22 80
B 96 81
A 52 25
A 22 41
A 13 32
B 28 95
A 5 90
B 54 8
B 4 88
A 54 45
B 40 69
B 76 34
B 99 66
A 53 73
B 84 82
B 8 17
A 39 10
A 47 26
B 89 32
B 29 92
A 61 91
A 45 61
A 30 76
A 34 25
A 7 78
B 38 96
A 10 19
A 64 41
B 91 10
A 62 63
A 7 58
A 51 40
B 11 64
B 87 84
A 55 15
A 58 1
A 7 51
A 32 51
A 25 1
B 56 98
B 62 21
B 78 24
A 73 33
B 16 62
A 44 9
A 91 21
A 41 51
B 48 92
B 76 14
B 89 22
A 64 49
B 83 58
B 54 42
A 2 61
B 72 86
B 17 98
A 75 95
A 39 26
B 50 77
B 15 53
A 14 43
A 21 35
B 24 30
B 98 30
A 5 57
B 88 19
A 60 26
B 10 51
B 54 57
A 38 73
A 40 82
A 72 68
A 55 11
A 89 30
B 6 37
A 77 85
B 77 18
B 5 71
A 42 57
A 60 25
B 58 95
B 88 52
A 49 97
B 90 1
B 43 58
A 41 33
B 6 46
A 38 45
B 82 41
A 77 31
A 35 43
B 95 31
B 86 47
A 66 73
B 40 68
B 93 83
B 12 91
A 69 97
B 88 65
A 76 64
B 89 94
B 76 97
B 58 6
B 54 74
A 27 66
A 33 69
B 72 52
B 40 75
B 54 60
A 25 97
B 46 29
B 66 65
B 27 43
B 29 48
B 64 62
B 22 25
A 75 44
A 96 3
A 59 75
A 63 2
B 15 94
B 76 47
B 66 45
A 60 16
A 32 46
B 53 79
A 73 70
A 9 18
B 84 92
A 28 13
A 1 49
B 25 4
A 70 28
B 46 42
A 15 95
B 27 21
A 20 22
A 99 76
A 67 26
B 14 3
B 91 4
B 15 49
B 99 2
A 88 90
A 86 41
B 84 51
B 57 75
A 73 15
A 31 87
A 69 90
A 25 36
B 9 25
A 80 29
A 43 23
A 17 34
A 6 90
B 9 47
A 54 68
A 20 73
B 86 54
A 25 81
A 34 43
A 1 62
A 64 75
B 27 80
A 52 70
A 92 7
A 18 32
A 68 92
B 32 90
A 100 56
B 13 16
B 41 48
A 20 65
B 29 30
B 41 72
A 19 40
A 14 41
B 58 53
A 67 65
A 87 43
B 34 8
A 66 89
B 33 20
B 34 8
A 71 90
B 68 4
B 38 44
A 44 74
A 42 29
B 73 80
B 73 33
B 22 3
A 39 41
B 2 54
B 82 54
B 16 68
A 67 80
A 64 65
B 97 60
B 76 95
B 46 59
B 51 86
B 11 10
A 3 83
A 45 56
B 12 51
A 54 76
B 23 73
A 82 96
A 2 22
B 22 12
B 53 42
B 9 7
B 64 24
A 24 20
A 81 49
B 22 23
B 9 90
A 6 51
A 33 27
B 47 83
B 82 45
A 6 43
B 41 43
A 5 64
B 82 59
A 9 18
A 7 34
A 20 85
B 88 16
A 56 81
A 48 18
B 85 63
B 96 23
A 59 17
A 34 98
A 38 23
B 18 94
A 100 27
B 5 79
A 48 47
B 3 57
B 53 10
A 68 72
A 5 89
A 96 87
A 2 25
A 78 43
A 73 6
A 54 41
B 9 52
A 81 72
B 20 51
A 24 93
A 94 68
B 34 60
A 77 87
B 49 31
B 80 62
A 92 84
B 47 46
A 69 18
A 76 21
B 62 4
B 11 4
A 85 2
B 33 86
A 11 37
B 44 96
A 77 42
A 67 38
A 36 19
A 17 49
A 20 55
B 78 82
B 91 32
A 52 32
A 95 59
A 33 13
A 67 43
B 53 29
B 53 86
B 81 21
A 6 38
A 51 27
B 5 77
B 60 25
B 85 74
A 84 7
A 14 9
A 24 89
A 20 50
A 77 53
B 65 72
B 7 8
A 23 15
B 20 57
A 65 50
B 23 18
B 88 10
A 4 37
A 75 16
B 9 25
B 16 71
A 34 36
A 17 4
A 30 8
A 61 84
B 76 38
B 47 61
A 48 62
A 14 17
A 32 58
B 57 49
B 73 84
A 1 17
B 26 35
B 85 88
A 87 29
A 8 19
A 90 96
A 90 27
A 78 51
B 16 28
B 30 24
B 87 18
A 63 72
A 62 28
A 52 80
B 88 85
B 38 64
B 99 90
B 44 32
A 49 79
A 42 8
A 72 28
A 88 22
A 59 79
B 57 14
B 90 59
A 91 41
A 88 53
A 46 57
A 18 49
A 20 40
A 21 41
B 49 23
B 38 67
A 19 26
A 80 62
A 29 3
A 43 46
A 6 8
B 96 9
A 1 54
B 84 80
B 15 5
A 2 37
B 24 50
B 42 35
A 89 7
B 12 16
A 100 34
A 57 23
B 86 95
B 87 37
B 52 10
B 60 97
A 8 96
A 15 50
B 24 83
B 75 52
B 2 99
A 11 36
A 89 83
B 2 39
B 67 95
B 100 66
A 88 69
A 68 13
A 94 80
B 56 70
A 1 70
A 60 21
A 77 70
B 52 65
B 63 56
A 8 35
B 32 68
B 24 51
B 37 78
A 51 45
A 50 48
A 93 40
B 48 85
B 48 11
B 41 72
B 36 32
A 87 57
B 63 6
A 60 31
B 57 76
B 11 53
A 84 24
B 4 2
B 58 52
A 6 31
B 21 5
A 64 27
B 56 19
A 88 11
B 20 43
A 10 5
B 33 30
B 85 60
A 58 27
A 94 93
B 80 4
A 53 71
A 47 85
B 71 20
B 27 22
A 12 98
A 6 79
B 98 95
A 95 48
B 34 33
A 42 29
B 9 35
B 90 50
A 65 77
A 92 90
A 55 70
A 60 6
B 11 12
A 69 98
B 83 65
A 29 85
B 89 90
A 54 75
A 44 13
A 52 82
A 60 86
A 99 14
A 9 36
A 83 94
A 31 2
A 61 62
B 86 62
B 9 16
A 73 64
B 41 89
A 16 87
A 34 53
B 27 54
A 52 79
B 35 16
B 82 19
B 30 42
B 84 13
A 80 82
B 1 17
B 64 5
B 88 9
B 94 3
B 90 37
B 30 57
A 46 17
B 76 72
B 95 2
A 94 13
A 31 79
A 90 54
A 9 32
A 58 91
A 84 31
A 2 35
A 69 52
A 35 24
B 97 24
A 20 67
A 64 44
A 67 6
A 87 37
A 28 22
B 96 24
A 82 63
A 88 4
B 84 24
A 88 20
A 57 98
A 3 40
A 32 69
A 88 32
B 51 20
A 8 13
B 91 66
A 11 16
A 20 53
A 74 72
B 90 92
B 66 67
A 59 34
B 85 83
A 99 32
B 16 46
B 1 58
B 7 3
A 12 66
B 19 27
A 15 28
B 99 17
B 49 88
A 10 21
A 28 39
B 37 40
A 12 75
B 61 78
B 7 8
A 43 36
B 22 41
B 76 62
B 64 40
B 74 19
B 2 78
A 21 74
B 45 94
B 69 63
A 73 6
A 100 18
A 97 8
B 5 15
B 17 83
B 19 72
B 69 30
B 65 42
B 51 24
B 15 99
A 1 84
B 51 12
B 86 62
B 92 25
B 48 44
B 82 68
B 14 19
B 59 12
A 7 86
A 19 54
B 48 23
B 18 80
A 91 7
A 76 50
B 68 21
A 98 89
A 34 45
A 58 69
A 74 37
A 90 40
A 53 26
B 68 5
B 26 12
A 62 93
A 66 54
B 46 54
A 87 17
B 52 88
A 50 26
A 12 22
B 53 87
A 62 94
A 57 31
A 52 40
B 84 11
B 30 85
A 17 63
A 67 88
B 73 78
B 65 33
B 42 22
B 39 63
A 19 16
B 44 54
A 35 39
A 94 4
B 41 78
A 80 79
B 23 9
A 53 5
B 99 27
A 21 72
A 37 80
B 44 90
A 66 54
B 25 54
A 4 34
B 51 30
A 21 37
A 66 4
A 44 10
A 67 86
B 10 89
B 15 89
A 50 19
A 32 85
B 54 82
B 32 75
B 49 92
A 6 71
B 42 100
B 44 93
B 5 15
A 85 63
A 84 16
A 12 11
B 70 88
A 92 61
B 71 49
A 82 66
B 35 48
A 84 21
B 50 32
B 63 57
B 11 68
B 58 33
A 69 77
A 38 34
A 9 79
B 5 66
A 62 73
A 3 64
B 90 10
B 41 38
A 19 75
A 93 9
B 25 41
A 60 52
B 48 85
B 41 87
B 74 71
B 91 89
A 29 49
B 27 63
B 50 94
B 60 29
A 27 33
B 49 61
A 17 32
A 47 57
A 100 46
B 15 67
B 70 14
B 92 49
A 94 69
A 88 94
A 14 17
A 9 13
B 35 9
A 88 12
A 45 86
B 87 81
A 41 71
B 24 3
A 57 69
B 97 40
B 15 65
B 24 88
B 85 82
A 12 90
A 44 99
A 11 8
A 27 38
B 67 95
A 35 99
A 63 44
A 90 74
B 51 56
A 93 75
A 98 28
B 77 50
B 66 57
B 52 5
A 70 32
B 61 26
B 79 13
A 66 51
A 41 33
A 46 47
A 85 65
A 60 2
B 36 59
B 70 51
A 7 60
A 92 72
B 98 83
A 7 23
A 13 90
A 39 18
B 78 66
B 27 19
B 63 45
B 75 21
B 76 11
B 82 81
A 61 38
A 26 74
A 89 70
A 39 35
A 12 95
B 57 94
B 11 50
B 21 63
A 7 68
A 86 78
A 37 98
A 71 57
B 60 16
A 78 63
B 63 79
B 89 15
A 89 10
A 61 58
B 99 5
B 69 35
A 11 61
A 16 74
B 58 48
A 31 93
A 65 56
A 76 59
A 17 12
A 76 81
A 24 20
B 2 82
B 73 20
A 33 5
B 28 52
A 36 33
B 83 77
B 34 73
B 79 46
B 11 19
B 32 46
B 31 60
A 11 48
A 96 83
B 46 65
A 33 45
A 31 8
A 79 78
B 20 89
B 3 47
B 7 41
B 16 56
B 18 57
A 52 92
A 95 90
B 17 45
A 41 71
B 82 26
A 65 79
A 56 60
B 81 43
A 81 48
B 10 37
B 42 36
B 22 57
A 44 4
B 82 89
B 20 45
A 24 14
A 18 78
B 13 61
A 4 53
A 39 31
A 83 4
B 25 7
A 25 85
B 69 26
A 93 63
B 85 6
A 17 48
A 49 43
A 48 52
B 63 34
B 19 25
B 91 65
A 7 12
A 12 30
B 61 8
A 47 96
A 95 58
A 60 19
A 7 90
B 99 68
A 43 96
A 84 80
B 90 7
A 29 38
A 67 10
A 41 23
A 1 10
A 38 95
A 74 93
A 94 18
B 26 81
B 93 25
B 23 6
A 81 61
B 10 86
B 78 42
A 21 2
A 70 10
A 50 40
A 94 64
B 12 33
A 55 69
A 66 17
B 27 12
B 7 72
A 27 75
B 74 75
A 2 21
B 18 48
A 86 38
A 18 9
A 44 54
A 76 47
A 24 6
A 55 4
A 82 83
A 53 73
B 24 9
B 83 25
A 83 58
B 84 13
B 45 37
B 83 100
A 91 92
B 28 5
B 16 28
A 68 26
A 33 18
A 34 63
A 85 89
A 29 60
A 72 30
B 72 39
A 5 69
B 45 39
A 76 53
A 88 82
A 45 67
B 58 66
A 73 80
A 31 98
B 37 17
B 92 27
A 65 95
B 38 30
A 49 26
B 98 66
B 75 41
A 6 86
B 76 7
B 6 78
A 1 35
A 34 47
B 66 92
B 80 69
A 32 3
B 76 42
B 39 40
A 55 9
B 33 31
B 84 66
A 49 60
A 31 54
B 23 96
A 74 9
A 32 46
B 21 66
B 67 89
A 10 49
B 81 38
B 37 80
B 16 89
B 21 26
B 14 20
B 84 64
A 88 91
A 62 16
B 44 61
A 69 27
B 50 59
B 28 19
B 59 14
A 81 12
A 90 96
B 13 5
A 85 71
B 63 30
A 23 18
A 64 9
B 45 98
A 18 68
B 30 2
A 89 34
A 11 52
A 72 42
B 89 8
B 77 39
B 36 79
B 52 3
A 76 62
B 90 82
B 79 33
A 76 97
A 86 54
B 88 2
A 97 80
A 35 68
A 91 81
B 51 77
B 23 51
B 53 96
A 52 79
A 37 89
B 11 90
A 12 90
A 8 56
B 75 97
B 61 78
B 17 98
A 69 87
B 98 54
A 3 68
A 94 67
B 28 86
A 34 89
A 47 10
B 14 23
A 19 2
A 58 75
A 93 13
B 87 79
B 34 52
A 20 95
A 11 14
A 82 72
B 44 70
B 52 47
B 48 98
A 77 16
B 7 44
B 68 91
A 25 47
B 81 64
B 28 34
A 67 73
B 45 65
B 91 11
A 59 64
A 40 41
B 77 33
A 68 70
B 83 54
A 6 76
B 61 80
A 15 95
B 87 88
A 64 63
B 62 93
B 52 74
A 60 4
A 7 19
A 60 57
B 63 55
A 26 83
A 49 6
B 72 57
A 3 41
B 51 26
A 44 40
A 2 35
B 35 10
A 19 99
A 48 38
B 18 20
A 22 96
B 28 44
A 68 96
B 57 29
A 4 95
A 6 15
B 94 53
A 48 70
A 84 21
B 80 49
A 26 28
B 45 31
B 94 69
B 19 45
B 97 85
B 89 80
B 28 54
B 65 32
A 32 24
B 68 86
A 11 18
B 87 19
A 97 32
A 93 57
A 23 17
B 73 97
B 13 9
B 73 21
B 22 82
B 66 10
B 85 100
A 100 52
B 85 38
B 9 24
A 5 41
A 21 40
B 22 96
A 62 41
A 88 56
A 15 41
A 72 99
B 77 95
A 16 17
B 60 82
B 47 37
B 86 40
B 13 90
A 89 64
B 23 94
B 90 94
B 55 96
B 30 42
A 49 82
A 11 61
B 48 97
B 29 22
A 71 89
B 79 54
B 23 37
B 58 51
B 44 93
B 40 75
B 45 64
B 96 44
A 22 12
B 25 75
B 56 38
B 83 24
B 13 92
A 94 18
A 40 72
A 46 13
B 80 39
A 93 8
B 47 99
A 87 62
B 69 70
B 9 92
B 55 17
B 52 51
A 56 8
A 94 89
A 16 96
A 33 32
A 87 93
B 39 55
B 52 28
B 62 76
A 18 28
A 43 54
B 54 60
B 25 86
B 96 32
A 84 39
A 55 19
B 60 13
A 24 19
B 38 92
B 20 76
A 76 68
A 32 92
A 23 58
B 100 40
A 33 98
B 83 53
B 24 7
B 9 88
A 96 54
B 33 56
A 87 37
A 79 92
B 80 89
A 9 39
B 73 67
B 36 47
B 15 29
B 72 68
A 52 24
B 38 5
A 29 71
B 30 37
A 87 1
B 72 26
B 89 65
B 64 97
B 14 9
B 41 71
A 92 22
A 33 11
B 88 8
A 32 5
A 58 25
A 51 22
B 88 10
A 62 23
B 12 56
A 70 83
B 63 99
B 70 2
A 26 83
A 50 53
B 34 35
A 43 58
B 84 27
B 46 88
A 40 78
A 71 17
B 52 64
B 17 48
B 28 44
A 2 96
B 14 81
B 58 42
A 76 74
B 90 86
A 55 28
A 75 29
A 61 67
B 19 41
A 67 88
B 6 11
A 56 46
B 74 53
B 27 29
B 100 16
B 47 89
A 75 48
A 49 23
A 62 14
A 3 43
B 24 44
A 59 28
B 75 76
A 35 91
B 61 22
A 82 9
B 4 13
A 8 36
B 36 66
B 87 75
A 1 82
A 43 59
B 36 7
B 7 38
B 7 37
B 60 3
A 99 15
A 40 51
B 74 82
A 4 56
B 64 5
A 85 38
B 5 8
B 3 78
A 58 85
A 4 71
A 26 85
B 15 50
B 3 97
B 33 9
A 7 76
B 89 72
B 28 10
B 3 50
A 23 56
A 14 15
A 58 83
A 38 20
A 83 81
B 66 40
A 88 97
B 91 35
B 29 27
B 54 82
A 2 30
B 22 73
B 7 9
B 49 27
B 31 92
B 50 93
B 35 15
A 99 65
A 48 29
A 89 24
A 62 73
A 34 64
B 61 41
B 7 71
A 44 62
B 33 37
A 99 81
A 4 67
B 18 10
B 98 37
A 83 72
A 63 6
A 25 75
A 69 79
B 50 75
A 69 84
B 51 69
A 35 8
B 29 90
B 32 8
B 25 89
B 91 90
A 47 90
B 29 58
A 54 43
B 84 5
B 53 83
B 93 4
B 45 37
B 91 51
A 30 9
B 71 40
B 80 84
B 83 77
A 4 41
B 60 37
B 82 33
A 25 59
B 12 38
B 57 88
A 72 50
A 32 3
A 33 82
A 50 36
A 26 72
A 81 25
B 41 53
B 45 67
B 41 54
B 63 69
A 93 3
A 84 47
B 24 34
B 68 28
B 16 41
A 46 6
A 9 33
B 31 11
A 80 27
A 83 21
A 10 12
A 94 38
A 61 63
A 78 22
A 22 20
A 15 7
B 43 81
A 86 67
A 88 37
B 88 94
B 75 34
A 39 6
A 16 42
A 23 51
B 57 69
B 77 78
B 89 34
A 7 56
B 29 5
B 89 73
B 49 17
A 25 74
B 64 70
B 24 98
A 81 75
B 70 4
B 37 62
A 50 68
A 99 70
B 85 33
B 64 42
A 34 74
B 47 54
A 6 13
A 83 45
A 11 44
A 20 62
B 15 59
B 80 38
B 16 54
A 21 64
A 3 84
B 17 64
B 52 93
B 58 31
A 29 79
B 79 42
B 61 55
A 91 6
A 78 43
B 100 42
A 78 48
A 87 25
B 24 60
A 12 32
A 71 65
B 17 66
A 66 34
B 94 66
B 8 18
B 93 71
B 76 96
A 66 62
A 86 93
B 9 98
A 69 30
A 31 21
B 97 69
A 7 4
A 36 56
A 36 78
B 36 58
B 72 22
B 37 54
B 64 48
B 6 73
A 52 38
B 99 62
B 49 22
B 52 26
B 24 12
A 54 33
A 29 42
B 84 45
B 73 95
A 37 42
B 33 89
A 7 60
A 80 99
A 67 20
A 24 75
A 46 23
A 87 39
A 26 13
A 99 91
A 80 99
B 46 25
B 73 22
A 67 14
B 48 32
B 5 27
B 92 50
A 90 10
B 59 91
B 58 82
B 26 94
B 31 35
A 81 5
A 100 65
A 77 10
A 83 81
A 24 1
A 100 94
B 49 94
A 23 62
A 80 56
B 63 95
A 99 11
B 63 84
B 71 66
B 74 94
A 64 96
B 44 11
B 39 37
B 98 69
B 49 84
A 53 45
B 32 31
B 36 15
A 32 74
B 95 51
A 40 38
A 92 57
A 77 85
A 10 47
B 10 30
B 89 93
A 4 38
B 60 72
B 4 57
B 44 56
A 7 66
B 83 66
A 35 41
A 57 98
B 85 44
A 39 74
A 40 36
B 54 15
B 55 10
B 32 6
B 20 98
B 90 52
A 19 60
A 52 59
A 14 52
A 82 69
B 66 28
B 10 50
A 37 70
B 66 76
A 70 90
A 4 43
B 35 79
A 63 99
A 59 25
B 8 32
B 7 95
A 29 48
A 32 73
A 6 73
A 41 4
B 84 81
A 85 17
B 64 7
B 96 85
A 2 70
A 38 32
A 71 68
A 11 9
A 30 68
A 2 21
A 33 46
A 32 88
A 60 51
B 8 59
B 11 79
A 85 84
B 7 51
A 91 17
A 89 22
A 76 69
A 74 14
A 61 94
A 68 70
B 66 96
B 48 64
A 66 59
A 15 94
A 9 78
B 10 75
A 93 38
A 83 37
B 28 14
B 1 63
B 98 8
B 10 49
A 10 85
A 97 85
A 89 32
A 15 21
A 31 69
B 47 89
B 36 28
A 75 19
B 15 56
B 25 55
B 16 93
A 54 19
A 59 42
A 75 29
A 93 88
A 69 40
B 44 13
A 97 92
A 24 87
A 2 63
B 48 64
A 28 67
A 76 9
B 2 46
B 89 80
B 80 4
A 84 42
B 3 17
B 24 13
A 17 43
A 9 59
A 8 61
B 7 97
A 85 10
B 18 47
A 46 76
A 57 39
A 2 22
A 75 40
B 74 17
A 28 90
B 31 73
B 44 98
B 21 95
B 27 82
A 22 79
A 81 5
B 33 74
B 81 8
A 63 39
A 50 17
A 44 9
A 100 31
B 6 99
A 18 63
B 12 63
B 26 18
B 37 86
B 58 18
A 43 81
B 23 56
B 29 79
B 42 32
B 56 27
B 99 70
A 62 94
A 18 59
B 6 62
B 18 97
A 43 56
A 74 61
A 6 92
A 73 19
B 10 21
B 99 32
A 89 50
A 6 25
B 61 36
B 99 10
A 98 28
B 37 81
A 50 15
A 67 94
B 62 29
B 5 14
B 83 90
A 62 61
B 55 36
B 25 45
B 88 35
A 32 2
B 73 93
A 46 59
A 82 32
B 99 6
A 60 55
A 13 24
B 19 29
A 92 64
A 67 23
A 43 59
B 63 71
B 45 30
B 4 45
B 83 61
A 95 15
A 40 78
A 46 19
B 61 22
A 76 70
B 39 23
A 57 79
B 14 33
A 99 79
B 29 79
B 63 19
B 39 96
A 49 3
B 42 60
B 39 77
A 19 94
B 69 5
A 66 72
A 18 5
B 17 100
A 17 57
B 49 75
A 25 65
A 2 9
B 21 85
A 47 3
B 64 2
B 24 97
A 24 71
A 76 1
A 73 15
B 12 22
B 96 57
B 49 14
A 40 19
A 62 32
B 95 10
A 15 44
B 25 52
B 66 84
B 100 36
B 83 69
A 7 48
B 72 40
A 26 99
B 46 62
A 92 55
A 26 31
B 24 36
A 81 77
